tracking_id	shCtrl-1_0	shCtrl-2_0	shU-1_0	shU-2_0	Gene_ID	Gene stable ID	Gene start (bp)	Gene end (bp)	Gene name	Chromosome/scaffold name
ENSMUSG00000054931.5	1.4423	1.59712	0.967988	0.866664	ENSMUSG00000054931	ENSMUSG00000054931	21478907	21485507	Zkscan4	13
ENSMUSG00000054932.3	1.01731	1.1919	0.113195	0.0751053	ENSMUSG00000054932	ENSMUSG00000054932	90490737	90508907	Afp	5
ENSMUSG00000054934.4	0.0	0.0	0.0	0.07499689999999999	ENSMUSG00000054934	ENSMUSG00000054934	116417861	116473878	Kcnmb4	10
ENSMUSG00000054938.4	0.0	0.0	0.0	0.0	ENSMUSG00000054938	ENSMUSG00000054938	6467101	6478112	Olfr1346	7
ENSMUSG00000054939.6	1.31693	1.2100799999999998	0.48772299999999996	0.386291	ENSMUSG00000054939	ENSMUSG00000054939	3847268	3858880	Zfp174	16
ENSMUSG00000054940.4	0.0	0.0	0.0	0.0	ENSMUSG00000054940	ENSMUSG00000054940	38303527	38307570	Olfr137	17
ENSMUSG00000054942.7	2.23315	2.06363	1.81597	1.8539400000000001	ENSMUSG00000054942	ENSMUSG00000054942	152273849	152340407	Miga1	3
ENSMUSG00000054944.7	0.317278	0.329196	0.197009	0.48559399999999997	ENSMUSG00000054944	ENSMUSG00000054944	97733498	97747411	5330416C01Rik	13
ENSMUSG00000054945.3	2.84272	2.19647	2.75992	2.0567	ENSMUSG00000054945	ENSMUSG00000054945	90367204	90368487	Gm9958	5
ENSMUSG00000054951.2	0.42832200000000004	0.496334	0.217813	0.234816	ENSMUSG00000054951	ENSMUSG00000054951	40875482	40880558	9130008F23Rik	17
ENSMUSG00000054957.5	0.515109	0.20833000000000002	0.0	0.0	ENSMUSG00000054957	ENSMUSG00000054957	80728131	80728522	Gm9959	17
ENSMUSG00000054958.6	0.0	0.0	0.0	0.0	ENSMUSG00000054958	ENSMUSG00000054958	123201504	123216275	Nt5c1a	4
ENSMUSG00000054966.7	0.0150642	0.0	0.0	0.0	ENSMUSG00000054966	ENSMUSG00000054966	145365134	145614319	Lmntd1	6
ENSMUSG00000054967.6	3.2905300000000004	2.7335700000000003	3.96565	3.82444	ENSMUSG00000054967	ENSMUSG00000054967	76910371	76925448	Zfp647	15
ENSMUSG00000054976.7	0.0	0.0	0.00746199	0.0	ENSMUSG00000054976	ENSMUSG00000054976	81076950	81341764	Nyap2	1
ENSMUSG00000054978.2	0.0	0.0	0.0	0.0	ENSMUSG00000054978	ENSMUSG00000054978	65388684	65391652	Kbtbd13	9
ENSMUSG00000054986.7	0.0	0.07421060000000002	0.0	0.0648566	ENSMUSG00000054986	ENSMUSG00000054986	4064841	4077736	Sec14l3	11
ENSMUSG00000054988.8	0.0	0.0	0.0	0.0	ENSMUSG00000054988	ENSMUSG00000054988	20314473	20367177	Agtr1b	3
ENSMUSG00000054994.2	0.0	0.0	0.0	0.0	ENSMUSG00000054994	ENSMUSG00000054994	135494588	135504594	AV320801	X
ENSMUSG00000054999.2	0.182861	0.17516800000000002	0.21676399999999998	0.07700549999999999	ENSMUSG00000054999	ENSMUSG00000054999	6105782	6115792	Naaladl1	19
ENSMUSG00000055003.8	18.9614	18.7747	7.7263	7.2544	ENSMUSG00000055003	ENSMUSG00000055003	119315133	119330766	Lrtm2	6
ENSMUSG00000055010.1	0.0	0.0	0.0	0.0	ENSMUSG00000055010	ENSMUSG00000055010	24048955	24075054	A830031A19Rik	11
ENSMUSG00000055013.7	18.4267	18.745	18.0747	20.3839	ENSMUSG00000055013	ENSMUSG00000055013	89454806	89897617	Agap1	1
ENSMUSG00000055015.5	0.0	0.0	0.0	0.224624	ENSMUSG00000055015	ENSMUSG00000055015	11901363	11930600	Gm9961	16
ENSMUSG00000055022.8	0.0	0.0	0.0	0.0	ENSMUSG00000055022	ENSMUSG00000055022	92051165	92341967	Cntn1	15
ENSMUSG00000055024.5	12.1731	11.9157	9.81252	13.0547	ENSMUSG00000055024	ENSMUSG00000055024	81585351	81652077	Ep300	15
ENSMUSG00000055026.7	0.0	0.0	0.0	0.0	ENSMUSG00000055026	ENSMUSG00000055026	56716465	57387188	Gabrg3	7
ENSMUSG00000055027.10	1.04315	0.921365	0.547734	0.686519	ENSMUSG00000055027	ENSMUSG00000055027	71213940	71322233	Smyd1	6
ENSMUSG00000055030.1	0.0	0.0	0.0	0.0	ENSMUSG00000055030	ENSMUSG00000055030	92352143	92353449	Sprr2e	3
ENSMUSG00000055033.3	0.0	0.0	0.0	0.0	ENSMUSG00000055033	ENSMUSG00000055033	174155633	174162195	Olfr420	1
ENSMUSG00000055041.6	26.4186	27.5726	24.1276	20.5051	ENSMUSG00000055041	ENSMUSG00000055041	76899910	76901305	Commd5	15
ENSMUSG00000055044.5	1.24821	1.35007	1.21094	1.72807	ENSMUSG00000055044	ENSMUSG00000055044	40221173	40271842	Pdlim1	19
ENSMUSG00000055045.5	0.0	0.0	0.0	0.010925299999999999	ENSMUSG00000055045	ENSMUSG00000055045	77912127	77929288	Gm11190	11
ENSMUSG00000055048.6	0.0	0.0	0.0	0.0	ENSMUSG00000055048	ENSMUSG00000055048	57387272	57409941	Gm9962	7
ENSMUSG00000055053.10	3.6863599999999996	4.03528	1.9567599999999998	2.13429	ENSMUSG00000055053	ENSMUSG00000055053	81396186	81455635	Nfic	10
ENSMUSG00000055061.5	0.15333	0.197598	0.15370999999999999	0.16675399999999999	ENSMUSG00000055061	ENSMUSG00000055061	35581227	35588763	4931431C16Rik	5
ENSMUSG00000055065.6	131.086	129.411	114.978	106.47399999999999	ENSMUSG00000055065	ENSMUSG00000055065	79527736	79546741	Ddx17	15
ENSMUSG00000055067.8	32.4129	42.7946	39.2883	40.3217	ENSMUSG00000055067	ENSMUSG00000055067	178951960	179518041	Smyd3	1
ENSMUSG00000055069.3	0.021566	0.024074599999999998	0.0	0.050784699999999995	ENSMUSG00000055069	ENSMUSG00000055069	53684110	53706232	Rab39	9
ENSMUSG00000055072.2	0.408352	0.200096	1.34038	0.637315	ENSMUSG00000055072	ENSMUSG00000055072	79296179	79296906	Gm9964	11
ENSMUSG00000055078.6	0.0	0.0	0.0	0.0	ENSMUSG00000055078	ENSMUSG00000055078	57407672	57510059	Gabra5	7
ENSMUSG00000055088.2	0.0	0.0	0.0	0.0	ENSMUSG00000055088	ENSMUSG00000055088	36905680	36916038	Olfr354	2
ENSMUSG00000055093.9	31.9309	24.5997	30.0022	18.4328	ENSMUSG00000055093	ENSMUSG00000055093	122456904	122457374	Gm8430	6
ENSMUSG00000055095.2	0.0	0.0	0.0	0.0	ENSMUSG00000055095	ENSMUSG00000055095	44071393	44083610	Spink6	18
ENSMUSG00000055102.9	0.0	0.0	0.0	0.0	ENSMUSG00000055102	ENSMUSG00000055102	43607169	43618285	Zfp819	7
ENSMUSG00000055108.5	0.0506885	0.23081500000000002	0.0	0.122406	ENSMUSG00000055108	ENSMUSG00000055108	99125167	99126325	Phxr2	10
ENSMUSG00000055109.5	0.0	0.0	0.0	0.0	ENSMUSG00000055109	ENSMUSG00000055109	155624741	156345887	Gm15155	X
ENSMUSG00000055110.2	0.0	0.0	0.0	0.0	ENSMUSG00000055110	ENSMUSG00000055110	52575843	52619047	A630012P03Rik	X
ENSMUSG00000055114.6	32.3592	27.991999999999997	15.5975	13.5586	ENSMUSG00000055114	ENSMUSG00000055114	58341471	58389244	Anxa13	15
ENSMUSG00000055116.6	4.008319999999999	4.40515	3.9923800000000003	3.5531699999999997	ENSMUSG00000055116	ENSMUSG00000055116	113207465	113314126	Arntl	7
ENSMUSG00000055125.5	0.0	0.0	0.0	0.0	ENSMUSG00000055125	ENSMUSG00000055125	67758712	67760230	M5C1000I18Rik	9
ENSMUSG00000055128.8	27.1515	27.3659	24.8676	22.7604	ENSMUSG00000055128	ENSMUSG00000055128	46832125	46854193	Cgrrf1	14
ENSMUSG00000055134.5	4.74579	5.23186	2.53621	2.65009	ENSMUSG00000055134	ENSMUSG00000055134	67921504	67947659	9130017K11Rik	11
ENSMUSG00000055137.6	3.45192	5.169969999999999	0.713234	0.517406	ENSMUSG00000055137	ENSMUSG00000055137	16857472	17695553	Sugct	13
ENSMUSG00000055138.5	0.0	0.0	0.0	0.0	ENSMUSG00000055138	ENSMUSG00000055138	137550045	137552622	Gm4861	3
ENSMUSG00000055148.7	0.0182295	0.0	0.0433165	0.043130699999999994	ENSMUSG00000055148	ENSMUSG00000055148	72319033	72321656	Klf2	8
ENSMUSG00000055150.7	1.02847	0.878918	0.743297	0.8983959999999999	ENSMUSG00000055150	ENSMUSG00000055150	6363280	6382605	Zfp78	7
ENSMUSG00000055159.7	0.168197	0.143045	0.0	0.0505071	ENSMUSG00000055159	ENSMUSG00000055159	118243865	118245551	4930583K01Rik	7
ENSMUSG00000055170.3	0.0	0.0	0.0	0.0	ENSMUSG00000055170	ENSMUSG00000055170	118441046	118445892	Ifng	10
ENSMUSG00000055172.8	10.2314	10.9551	0.40266199999999996	0.165692	ENSMUSG00000055172	ENSMUSG00000055172	124512405	124523443	C1ra	6
ENSMUSG00000055177.8	0.0	0.0	0.0	0.0	ENSMUSG00000055177	ENSMUSG00000055177	148750358	148755433	Cstl1	2
ENSMUSG00000055184.4	2.54327	2.55894	2.82102	2.5051200000000002	ENSMUSG00000055184	ENSMUSG00000055184	131527903	131539872	Fam72a	1
ENSMUSG00000055188.6	2.58582	3.48545	3.11837	3.76571	ENSMUSG00000055188	ENSMUSG00000055188	8145429	8147964	Rbm3os	X
ENSMUSG00000055193.3	0.0	0.0	0.0	0.0	ENSMUSG00000055193	ENSMUSG00000055193	43933740	43939639	Klk15	7
ENSMUSG00000055194.3	0.047141	0.105301	0.139625	0.13885	ENSMUSG00000055194	ENSMUSG00000055194	111255013	111257749	Actbl2	13
ENSMUSG00000055197.4	0.0	0.0	0.0	0.0	ENSMUSG00000055197	ENSMUSG00000055197	74881509	74885419	Fev	1
ENSMUSG00000055198.3	0.0	0.0	0.0168644	0.0	ENSMUSG00000055198	ENSMUSG00000055198	114821722	114856166	Gm12830	4
ENSMUSG00000055200.6	9.64296	7.8287	8.80926	9.617180000000001	ENSMUSG00000055200	ENSMUSG00000055200	27473768	27477364	Sertad3	7
ENSMUSG00000055202.7	0.123919	0.115846	0.0245638	0.048940199999999996	ENSMUSG00000055202	ENSMUSG00000055202	32795676	32809853	Zfp811	17
ENSMUSG00000055204.7	19.7925	21.0083	27.9171	30.0457	ENSMUSG00000055204	ENSMUSG00000055204	90227166	90366577	Ankrd17	5
ENSMUSG00000055210.3	0.21020100000000003	0.11051099999999998	0.10257000000000001	0.05829259999999999	ENSMUSG00000055210	ENSMUSG00000055210	114906282	114908873	Foxd2	4
ENSMUSG00000055214.9	0.0	0.00827577	0.045989999999999996	0.0	ENSMUSG00000055214	ENSMUSG00000055214	175962306	176275312	Pld5	1
ENSMUSG00000055216.3	0.0781789	0.0349935	0.0	0.0	ENSMUSG00000055216	ENSMUSG00000055216	3806635	3808751	9430025C20Rik	4
ENSMUSG00000055228.6	13.5675	14.956	8.85908	10.3653	ENSMUSG00000055228	ENSMUSG00000055228	62453715	62558511	Zfp935	13
ENSMUSG00000055235.5	0.08960069999999999	0.023943400000000004	0.0164056	0.0326422	ENSMUSG00000055235	ENSMUSG00000055235	24711738	24730727	Wdr86	5
ENSMUSG00000055239.8	30.2715	29.7901	44.5911	43.1862	ENSMUSG00000055239	ENSMUSG00000055239	72841114	72899979	Kcmf1	6
ENSMUSG00000055240.8	5.94716	6.09577	5.5000800000000005	4.87715	ENSMUSG00000055240	ENSMUSG00000055240	33360507	33394641	Zfp101	17
ENSMUSG00000055254.7	0.0	0.0	0.0	0.0	ENSMUSG00000055254	ENSMUSG00000055254	58806569	59133970	Ntrk2	13
ENSMUSG00000055271.4	0.228348	0.344552	0.273671	0.683938	ENSMUSG00000055271	ENSMUSG00000055271	103406822	103407820	9330161L09Rik	12
ENSMUSG00000055296.7	9.930860000000001	11.2925	17.421	18.2049	ENSMUSG00000055296	ENSMUSG00000055296	56866923	56947437	Tmem245	4
ENSMUSG00000055298.5	0.0	0.0	0.0	0.0	ENSMUSG00000055298	ENSMUSG00000055298	61000179	61005959	Ctsj	13
ENSMUSG00000055301.7	0.122466	0.147127	0.22298600000000002	0.221646	ENSMUSG00000055301	ENSMUSG00000055301	138217760	138233382	Adh7	3
ENSMUSG00000055302.5	273.796	272.427	312.858	277.047	ENSMUSG00000055302	ENSMUSG00000055302	36794867	36796772	Mrfap1	5
ENSMUSG00000055305.9	5.62194	6.2247699999999995	8.17329	2.4060799999999998	ENSMUSG00000055305	ENSMUSG00000055305	24270420	24277794	Zfp93	7
ENSMUSG00000055312.2	0.95463	1.85822	0.8126479999999999	0.737147	ENSMUSG00000055312	ENSMUSG00000055312	105224320	105379796	Them7	2
ENSMUSG00000055313.8	0.770225	0.610846	0.637297	0.32964299999999996	ENSMUSG00000055313	ENSMUSG00000055313	21421275	21441058	Pgbd1	13
ENSMUSG00000055319.7	16.3922	17.4209	23.1447	23.7774	ENSMUSG00000055319	ENSMUSG00000055319	128744943	128784836	Sec23ip	7
ENSMUSG00000055320.8	11.7185	15.447000000000001	13.2824	15.2487	ENSMUSG00000055320	ENSMUSG00000055320	112679318	112906807	Tead1	7
ENSMUSG00000055322.7	31.7296	32.8875	28.2075	42.505	ENSMUSG00000055322	ENSMUSG00000055322	73910231	74124449	Tns1	1
ENSMUSG00000055323.4	1.41582	1.76935	0.776332	0.987708	ENSMUSG00000055323	ENSMUSG00000055323	126768082	126776818	Gm9967	7
ENSMUSG00000055333.7	0.027153300000000002	0.0162501	0.014783500000000002	0.00978134	ENSMUSG00000055333	ENSMUSG00000055333	55250609	55336564	Fat2	11
ENSMUSG00000055334.4	14.8909	15.007	24.0848	23.5035	ENSMUSG00000055334	ENSMUSG00000055334	56950878	56983206	Snupn	9
ENSMUSG00000055341.7	0.08364210000000001	0.0749181	0.0595846	0.0790827	ENSMUSG00000055341	ENSMUSG00000055341	67288138	67306485	Zfp457	13
ENSMUSG00000055357.2	0.6246229999999999	0.9720700000000001	0.9661870000000001	1.6303299999999998	ENSMUSG00000055357	ENSMUSG00000055357	169776257	169779635	4933400A11Rik	X
ENSMUSG00000055360.7	0.0735105	0.0	0.22867300000000002	0.662758	ENSMUSG00000055360	ENSMUSG00000055360	13182715	13191923	Prl2c5	13
ENSMUSG00000055368.7	0.00506879	0.0	0.0	0.0	ENSMUSG00000055368	ENSMUSG00000055368	92960079	93001667	Slc6a2	8
ENSMUSG00000055370.3	1.8312599999999999	2.0322299999999998	1.47106	2.5973599999999997	ENSMUSG00000055370	ENSMUSG00000055370	43345887	43363666	Gm9968	16
ENSMUSG00000055371.10	15.9914	19.0396	23.031999999999996	26.3929	ENSMUSG00000055371	ENSMUSG00000055371	52691664	52742281	Stam2	2
ENSMUSG00000055373.7	0.0465889	0.0332224	0.0	0.00291684	ENSMUSG00000055373	ENSMUSG00000055373	25609332	25800244	Fut9	4
ENSMUSG00000055385.6	0.0	0.0	0.0	0.0	ENSMUSG00000055385	ENSMUSG00000055385	108729290	108774982	Rnf212	5
ENSMUSG00000055401.8	45.2488	38.9723	15.4007	16.4902	ENSMUSG00000055401	ENSMUSG00000055401	148145716	148152140	Fbxo6	4
ENSMUSG00000055403.6	0.0	0.0	0.0	0.0157345	ENSMUSG00000055403	ENSMUSG00000055403	88950683	89110031	4933427D06Rik	6
ENSMUSG00000055407.7	3.76745	3.55189	12.6717	16.5059	ENSMUSG00000055407	ENSMUSG00000055407	99267447	99337137	Map6	7
ENSMUSG00000055408.7	0.0	0.0	0.0	0.0	ENSMUSG00000055408	ENSMUSG00000055408	52262775	52267603	Hottip	6
ENSMUSG00000055409.7	0.0	0.0	0.0	0.0	ENSMUSG00000055409	ENSMUSG00000055409	49974864	50866608	Nell1	7
ENSMUSG00000055413.9	0.06335740000000001	0.0	0.113581	0.0	ENSMUSG00000055413	ENSMUSG00000055413	35394126	35397800	H2-Q5	17
ENSMUSG00000055415.6	0.00910811	0.00499858	0.0	0.0	ENSMUSG00000055415	ENSMUSG00000055415	43149877	43262285	Atp10b	11
ENSMUSG00000055416.5	0.45014099999999996	0.719897	0.567652	0.19373900000000002	ENSMUSG00000055416	ENSMUSG00000055416	31276491	31276902	Fam136b-ps	15
ENSMUSG00000055421.2	0.517915	0.899385	0.19084600000000002	0.20963	ENSMUSG00000055421	ENSMUSG00000055421	93013410	93890679	Pcdh9	14
ENSMUSG00000055424.3	0.525729	0.610204	0.644175	1.5180200000000001	ENSMUSG00000055424	ENSMUSG00000055424	31240675	31241232	Gm9970	5
ENSMUSG00000055430.3	0.24819899999999998	0.27802899999999997	0.35799200000000003	0.608012	ENSMUSG00000055430	ENSMUSG00000055430	58905233	58907076	Nap1l5	6
ENSMUSG00000055435.6	13.2774	12.3681	1.21966	1.2482600000000001	ENSMUSG00000055435	ENSMUSG00000055435	115682942	115707794	Maf	8
ENSMUSG00000055436.11	99.2901	97.2231	109.634	121.12799999999999	ENSMUSG00000055436	ENSMUSG00000055436	158010473	158036639	Srsf11	3
ENSMUSG00000055446.4	0.0	0.0	0.0	0.0	ENSMUSG00000055446	ENSMUSG00000055446	98543320	98562990	A630091E08Rik	7
ENSMUSG00000055447.11	32.7063	35.8901	20.1199	21.2442	ENSMUSG00000055447	ENSMUSG00000055447	49800533	49915010	Cd47	16
ENSMUSG00000055452.5	1.56031	1.68763	2.07195	2.2610099999999997	ENSMUSG00000055452	ENSMUSG00000055452	3109020	3111963	Gm7353	7
ENSMUSG00000055456.1	0.0	0.0	0.0	0.0	ENSMUSG00000055456	ENSMUSG00000055456	43035746	43037278	Gm9972	11
ENSMUSG00000055471.6	0.0	0.0	0.0	0.0	ENSMUSG00000055471	ENSMUSG00000055471	71869442	72603709	Alk	17
ENSMUSG00000055480.6	2.10597	2.4805599999999997	2.0087099999999998	2.5516900000000002	ENSMUSG00000055480	ENSMUSG00000055480	67254918	67278466	Zfp458	13
ENSMUSG00000055485.6	0.08150639999999999	0.22158699999999998	0.07861169999999999	0.113751	ENSMUSG00000055485	ENSMUSG00000055485	157015799	157079254	Soga1	2
ENSMUSG00000055489.6	0.0	0.00447953	0.0	0.0	ENSMUSG00000055489	ENSMUSG00000055489	51511029	51598709	Ano5	7
ENSMUSG00000055491.7	11.6753	10.023	13.7001	19.2329	ENSMUSG00000055491	ENSMUSG00000055491	46044886	46072915	Pprc1	19
ENSMUSG00000055493.4	2.89795	2.50359	0.847195	0.728342	ENSMUSG00000055493	ENSMUSG00000055493	11343404	11459644	Epm2a	10
ENSMUSG00000055494.5	0.015003299999999999	0.0	0.035600099999999996	0.0	ENSMUSG00000055494	ENSMUSG00000055494	156571792	156577457	Gm14168	2
ENSMUSG00000055497.5	1.25294	1.0767799999999998	0.759051	0.610104	ENSMUSG00000055497	ENSMUSG00000055497	17081999	17082691	Gm9974	16
ENSMUSG00000055515.7	0.0	0.0	0.0	0.0	ENSMUSG00000055515	ENSMUSG00000055515	79247777	79294535	Vmn2r81	10
ENSMUSG00000055523.6	0.042745599999999995	0.019065900000000004	0.0	0.0	ENSMUSG00000055523	ENSMUSG00000055523	55198297	55241236	Gucy2g	19
ENSMUSG00000055531.5	22.0841	22.1259	29.9237	30.2677	ENSMUSG00000055531	ENSMUSG00000055531	117344673	117380015	Cpsf6	10
ENSMUSG00000055538.6	9.6246	10.5258	1.49421	1.7613599999999998	ENSMUSG00000055538	ENSMUSG00000055538	25711642	25769039	Zcchc24	14
ENSMUSG00000055540.8	0.0180821	0.0	0.0	0.0	ENSMUSG00000055540	ENSMUSG00000055540	59653483	60605531	Epha6	16
ENSMUSG00000055541.10	0.0272329	0.0923808	0.0	0.0	ENSMUSG00000055541	ENSMUSG00000055541	4003402	4063204	Lair1	7
ENSMUSG00000055546.6	0.0	0.0	0.0	0.0179321	ENSMUSG00000055546	ENSMUSG00000055546	46810800	46844332	Timd4	11
ENSMUSG00000055547.4	0.0440671	0.0	0.0	0.0261284	ENSMUSG00000055547	ENSMUSG00000055547	152750551	152757544	Apobec4	1
ENSMUSG00000055553.10	38.7783	35.2816	20.0151	20.9274	ENSMUSG00000055553	ENSMUSG00000055553	70508272	70527956	Kxd1	8
ENSMUSG00000055555.1	0.0	0.0	0.0	0.0	ENSMUSG00000055555	ENSMUSG00000055555	53724826	53738441	4930502E18Rik	X
ENSMUSG00000055560.5	0.19639	0.15339	0.220849	0.242648	ENSMUSG00000055560	ENSMUSG00000055560	67405709	67421418	Zfp459	13
ENSMUSG00000055561.8	0.00649874	0.0403849	0.0	0.00763112	ENSMUSG00000055561	ENSMUSG00000055561	43963235	44022501	Spink5	18
ENSMUSG00000055567.8	0.0314508	0.011660799999999999	0.0165008	0.0122871	ENSMUSG00000055567	ENSMUSG00000055567	66468367	66699148	Unc80	1
ENSMUSG00000055571.3	0.0	0.0	0.0	0.0	ENSMUSG00000055571	ENSMUSG00000055571	86360854	86366928	Olfr305	7
ENSMUSG00000055594.5	0.0	0.0	0.0	0.0	ENSMUSG00000055594	ENSMUSG00000055594	133292216	133295792	5530400C23Rik	6
ENSMUSG00000055602.9	0.044312	0.026764	0.0891078	0.08867689999999999	ENSMUSG00000055602	ENSMUSG00000055602	13061104	13082481	Tcp10b	17
ENSMUSG00000055609.2	0.0	0.0	0.0	0.0	ENSMUSG00000055609	ENSMUSG00000055609	32276400	32278116	Hba-x	11
ENSMUSG00000055610.4	0.0	0.0	0.0	0.0	ENSMUSG00000055610	ENSMUSG00000055610	86332176	86337586	Olfr307	7
ENSMUSG00000055612.9	7.8375	8.59661	7.39495	6.23182	ENSMUSG00000055612	ENSMUSG00000055612	72476159	72486893	Cdca7	2
ENSMUSG00000055621.6	0.0	0.0	0.0	0.0	ENSMUSG00000055621	ENSMUSG00000055621	103989102	103990036	Olfr636-ps1	7
ENSMUSG00000055629.4	0.0102823	0.0	0.0	0.0	ENSMUSG00000055629	ENSMUSG00000055629	141061104	141072400	B4galnt4	7
ENSMUSG00000055632.10	0.221654	0.267606	0.30911500000000003	0.757992	ENSMUSG00000055632	ENSMUSG00000055632	31314415	31460738	Hmcn2	2
ENSMUSG00000055633.5	1.2452299999999998	1.25406	1.24795	1.52786	ENSMUSG00000055633	ENSMUSG00000055633	5051538	5053723	Zfp580	7
ENSMUSG00000055639.9	0.211312	0.186116	0.043721499999999996	0.0433032	ENSMUSG00000055639	ENSMUSG00000055639	97786853	98169765	Dach1	14
ENSMUSG00000055643.3	0.0	0.0	0.0	0.0	ENSMUSG00000055643	ENSMUSG00000055643	104127912	104129826	Ubqln5	7
ENSMUSG00000055652.7	7.91	8.39378	6.1573199999999995	6.3941099999999995	ENSMUSG00000055652	ENSMUSG00000055652	75848310	75874131	Klhl25	7
ENSMUSG00000055653.7	0.0	0.0	0.0	0.0	ENSMUSG00000055653	ENSMUSG00000055653	52272426	52613950	Gpc3	X
ENSMUSG00000055660.7	7.73502	7.3261	5.7973099999999995	5.55352	ENSMUSG00000055660	ENSMUSG00000055660	94727080	94749892	Mettl4	17
ENSMUSG00000055670.7	20.8894	22.7795	22.4601	23.8702	ENSMUSG00000055670	ENSMUSG00000055670	72796226	72927120	Zzef1	11
ENSMUSG00000055675.5	0.00439526	0.019563900000000002	0.05709580000000001	0.0103086	ENSMUSG00000055675	ENSMUSG00000055675	15011025	15033333	Kbtbd11	8
ENSMUSG00000055676.2	0.348244	0.331581	0.255567	0.286767	ENSMUSG00000055676	ENSMUSG00000055676	180326970	180330550	Gm5069	1
ENSMUSG00000055679.4	0.0	0.0	0.0	0.0	ENSMUSG00000055679	ENSMUSG00000055679	61159204	61164256	Ctsr	13
ENSMUSG00000055681.8	37.7746	38.6466	38.4104	37.5314	ENSMUSG00000055681	ENSMUSG00000055681	70302518	70312993	Cope	8
ENSMUSG00000055691.5	0.0990336	0.129349	0.195953	0.273064	ENSMUSG00000055691	ENSMUSG00000055691	160902116	160907052	Gja6	X
ENSMUSG00000055692.11	5.65371	8.56381	4.02169	4.60991	ENSMUSG00000055692	ENSMUSG00000055692	17276077	17283229	Tmem191c	16
ENSMUSG00000055700.6	0.0	0.0	0.0	0.0	ENSMUSG00000055700	ENSMUSG00000055700	107542582	107543800	4933401B06Rik	X
ENSMUSG00000055704.4	0.0777327	0.0433642	0.0	0.0342985	ENSMUSG00000055704	ENSMUSG00000055704	78484570	78487842	Gm9978	10
ENSMUSG00000055707.6	9.90124	10.7043	15.9375	17.3428	ENSMUSG00000055707	ENSMUSG00000055707	70450219	70476968	Klhl26	8
ENSMUSG00000055717.7	0.0	0.0	0.0	0.0	ENSMUSG00000055717	ENSMUSG00000055717	103650228	103704907	Slain1	14
ENSMUSG00000055720.8	8.565539999999999	11.5381	9.52552	11.0829	ENSMUSG00000055720	ENSMUSG00000055720	57910979	57929968	Ubl7	9
ENSMUSG00000055723.5	58.2395	60.6063	123.68799999999999	121.855	ENSMUSG00000055723	ENSMUSG00000055723	114046782	114117781	Rras2	7
ENSMUSG00000055725.5	1.9555799999999999	2.56355	4.04068	4.33739	ENSMUSG00000055725	ENSMUSG00000055725	97082329	97111596	Paqr3	5
ENSMUSG00000055730.8	0.789249	0.366073	0.249079	0.146448	ENSMUSG00000055730	ENSMUSG00000055730	104734003	104741634	Ces2a	8
ENSMUSG00000055732.1	0.0	0.0	0.0	0.0	ENSMUSG00000055732	ENSMUSG00000055732	40704005	40707949	Gm9979	13
ENSMUSG00000055733.5	0.478998	0.21649899999999997	0.270189	0.17463499999999998	ENSMUSG00000055733	ENSMUSG00000055733	122394565	122397401	Nap1l3	X
ENSMUSG00000055737.6	36.6711	36.064	4.654319999999999	5.7445900000000005	ENSMUSG00000055737	ENSMUSG00000055737	3317760	3583492	Ghr	15
ENSMUSG00000055745.3	0.0	0.0	0.0	0.0	ENSMUSG00000055745	ENSMUSG00000055745	84553398	84557823	Rtl6	15
ENSMUSG00000055746.2	0.0	0.0	0.0	0.0	ENSMUSG00000055746	ENSMUSG00000055746	155027201	155093666	Magea2	X
ENSMUSG00000055748.6	0.10065700000000001	0.056350800000000006	0.0597568	0.059483400000000006	ENSMUSG00000055748	ENSMUSG00000055748	63891264	63912297	Gsdmc4	15
ENSMUSG00000055760.6	6.779660000000001	5.91654	2.1764099999999997	2.82059	ENSMUSG00000055760	ENSMUSG00000055760	80224441	80228497	Gemin6	17
ENSMUSG00000055761.8	0.0	0.015207299999999998	0.0244071	0.0	ENSMUSG00000055761	ENSMUSG00000055761	20118874	20778866	Nkain3	4
ENSMUSG00000055762.9	359.855	363.624	364.11800000000005	345.084	ENSMUSG00000055762	ENSMUSG00000055762	75894205	75909556	Eef1d	15
ENSMUSG00000055763.7	0.697958	0.654624	0.538346	0.30911500000000003	ENSMUSG00000055763	ENSMUSG00000055763	66007737	66008417	Rybp-ps	13
ENSMUSG00000055771.1	0.0	0.0	0.0	0.0	ENSMUSG00000055771	ENSMUSG00000055771	30495001	30495375	Gm7936	18
ENSMUSG00000055775.9	0.0	0.0	0.0	0.00728812	ENSMUSG00000055775	ENSMUSG00000055775	67277124	67308634	Myh8	11
ENSMUSG00000055780.4	0.0	0.0	0.0	0.0	ENSMUSG00000055780	ENSMUSG00000055780	51753959	51801233	Usp26	X
ENSMUSG00000055782.7	0.0258993	0.0124488	0.0	0.0	ENSMUSG00000055782	ENSMUSG00000055782	91145871	91191799	Abcd2	15
ENSMUSG00000055789.7	0.0	0.0	0.0	0.0	ENSMUSG00000055789	ENSMUSG00000055789	58635167	58638739	E330017A01Rik	16
ENSMUSG00000055795.4	0.103149	0.0	0.0	0.0	ENSMUSG00000055795	ENSMUSG00000055795	14424868	14425311	Gm5160	18
